Cva_ID;Cva_APG_Family;Cva_Genus;Cva_Species;Cva_Common_Name;Cva_Authority;Cva_Chromosome_Nr;Cva_PloidyLevel;Cva_Estimation_Method;Cva_Voucher;Cva_2C_PG;Cva_Original_Reference;Cva_Lifecycle;Cva_Angiosperm_Group;Cva_Paper;Cva_IS;Cva_Remarks;Cva_Order_Nr;Cva_CompanyCode;Cva_Cropcode;Cva_Date_Created;Cva_Date_ Modified;Cva_EmpName_Created;Cva_EmpName_Modified;Cva_ID_Genus;Cva_Cultivar;Cva_AnO;Cva_PlantCode;Cva_BreedingCode;Cva_Status;Cva_zzz
8447;Asteraceae;Hypochaeris;glabra;;L.;0;0;Fe;;2.6;Mara򲬠and Grubb; 1993 (Ref. 274);A;Eudicot;0;;1993;0;;;9-2-2013;2-1-2016;Import;Designer;1861;;;;;
8448;Fabaceae;Cicer;echinospermum;;P.H.Davis;16;2;Fe;N;2.6;Galasso et al.; 1996 (Ref. 277);A;Eudicot;0;;1996;0;;;9-2-2013;31-12-2015;Import;Designer;1043;;;;;
8449;Fabaceae;Phaseolus;geophillus;;Burk.;22;2;Fe;N;2.6;Ayonoadu; 1974 (Ref. 28);P;Eudicot;0;;1974;0;;285;9-2-2013;31-12-2015;Import;Designer;870;;;;;
8450;Asteraceae;Hypochaeris;robertia;;Fiori;8;2;FC:EB;Y;2.6;Cerbah et al.; 1995 (Ref. 280);P;Eudicot;0;;1995;0;;;9-2-2013;2-1-2016;Import;Designer;1861;;;;;
8451;Convolvulaceae;Ipomoea;obscura;;(L.) Ker-Gawl.;0;0;FC:DAPI;Y;2.6;Ozias-Akins and Jarret; 1994 (Ref. 288);;Eudicot;0;;1994;0;;91;9-2-2013;31-12-2015;Import;Designer;205;;;;;
8452;Convolvulaceae;Ipomoea;tabascana;;McDonald & Austin;60;4;FC:DAPI;Y;2.6;Ozias-Akins and Jarret; 1994 (Ref. 288);;Eudicot;0;;1994;0;;91;9-2-2013;31-12-2015;Import;Designer;205;;;;;
8453;Fabaceae;Acacia;verek;;Guill. & Perr.;26;2;Fe;N;2.6;Mukerjee and Sharma; 1993 (Ref. 289);P;Eudicot;0;;1993;0;;;9-2-2013;31-12-2015;Import;Designer;505;;;;;
8454;Fabaceae;Cajanus;platycarpus;;(Benth.) Maesen;22;2;Fe;Y;2.6;Ohri; 1996 (Ref. 303);B;Eudicot;0;;1996;0;;;9-2-2013;2-1-2016;Import;Designer;1744;;;;;
8455;Orchidaceae;Dendrobium;crumenatum;;Sw.;38;2;FC:PI;N;2.6;Jones et al.; 1998 (Ref. 307);P;Monocot;0;;1998;0;;196;9-2-2013;31-12-2015;Import;Designer;122;;;;;
8456;Orchidaceae;Dendrobium;bellatulum;;Rolfe;38;2;FC:PI;N;2.6;Jones et al.; 1998 (Ref. 307);P;Monocot;0;;1998;0;;196;9-2-2013;31-12-2015;Import;Designer;122;;;;;
8457;Orchidaceae;Dendrobium;atroviolaceum;;Rolfe;38;2;FC:PI;N;2.6;Jones et al.; 1998 (Ref. 307);P;Monocot;0;;1998;0;;196;9-2-2013;31-12-2015;Import;Designer;122;;;;;
8458;Phytolaccaceae;Phytolacca;dioica;;L.;36;4;Fe;Y;2.6;Poggio et al.; 1999 (Ref. 354);P;Eudicot;0;;1999;0;;;9-2-2013;2-1-2016;Import;Designer;1913;;;;;
